Symbol,Close,Date,High,Low,Month,Open,Volume,Sector
ADANIENT,3268.75,02-04-2024 05:30,3285,3240,2024-04,3258.95,868829,Energy
ADANIENT,3233.45,03-04-2024 05:30,3260.15,3222,2024-04,3250,1153109,Energy
ADANIENT,3210.8,04-04-2024 05:30,3273,3201.7,2024-04,3250,1403826,Energy
ADANIENT,3224.8,05-04-2024 05:30,3234,3178.95,2024-04,3211.1,755607,Energy
ADANIENT,3224.55,08-04-2024 05:30,3243.5,3197.2,2024-04,3240.95,577440,Energy
ADANIENT,3198.45,09-04-2024 05:30,3251,3185,2024-04,3240.7,833679,Energy
ADANIENT,3242,10-04-2024 05:30,3254.6,3192.5,2024-04,3200,1441138,Energy
ADANIENT,3209.9,12-04-2024 05:30,3247.5,3205.3,2024-04,3210,705173,Energy
ADANIENT,3147.45,15-04-2024 05:30,3180.3,3103.2,2024-04,3150,1035378,Energy
ADANIENT,3106.4,16-04-2024 05:30,3149.2,3100,2024-04,3101,1134184,Energy
ADANIENT,3019.3,18-04-2024 05:30,3145,3008.3,2024-04,3125.15,1703646,Energy
ADANIENT,3026.95,19-04-2024 05:30,3057.05,2962.5,2024-04,3000,1727317,Energy
ADANIENT,3063.35,22-04-2024 05:30,3077.5,3025,2024-04,3053,993929,Energy
ADANIENT,3065.1,23-04-2024 05:30,3091,3043.1,2024-04,3059,1654272,Energy
ADANIENT,3043.55,24-04-2024 05:30,3087.85,3040,2024-04,3071.95,605917,Energy
ADANIENT,3115.25,25-04-2024 05:30,3120.9,3025.65,2024-04,3050,1515529,Energy
ADANIENT,3080.4,26-04-2024 05:30,3129.9,3066.05,2024-04,3119.9,662764,Energy
ADANIENT,3081.2,29-04-2024 05:30,3110.5,3051.5,2024-04,3110,648544,Energy
ADANIENT,3054.7,30-04-2024 05:30,3108.45,3045,2024-04,3094,804552,Energy
ADANIENT,3039.6,02-05-2024 05:30,3119.85,3015.05,2024-05,3071.95,2219085,Energy
ADANIENT,2993.25,03-05-2024 05:30,3045,2975.1,2024-05,3030,1472168,Energy
ADANIENT,2874.65,06-05-2024 05:30,3000.2,2850,2024-05,2993.25,2377944,Energy
ADANIENT,2835.95,07-05-2024 05:30,2905.35,2822,2024-05,2889.95,1262311,Energy
ADANIENT,2860.55,08-05-2024 05:30,2890.9,2820,2024-05,2850,951411,Energy
ADANIENT,2766.65,09-05-2024 05:30,2883.65,2756,2024-05,2864.8,1485510,Energy
ADANIENT,2797.25,10-05-2024 05:30,2809,2760.45,2024-05,2794.95,2354794,Energy
ADANIENT,2879.6,13-05-2024 05:30,2890,2790.5,2024-05,2803,3784373,Energy
ADANIENT,3037.55,14-05-2024 05:30,3046,2874.55,2024-05,2894.95,5725807,Energy
ADANIENT,3049.75,15-05-2024 05:30,3118.85,3037.6,2024-05,3046.75,1688836,Energy
ADANIENT,3041.65,16-05-2024 05:30,3076.95,2974.95,2024-05,3065,1835312,Energy
ADANIENT,3060.5,17-05-2024 05:30,3091,3015.5,2024-05,3041.05,825436,Energy
ADANIENT,3059.75,18-05-2024 05:30,3074,3055,2024-05,3074,74336,Energy
ADANIENT,3117.5,21-05-2024 05:30,3175,3034.5,2024-05,3067.9,3091659,Energy
ADANIENT,3140.95,22-05-2024 05:30,3145,3073.5,2024-05,3129.95,3371077,Energy
ADANIENT,3387.3,23-05-2024 05:30,3406,3135.55,2024-05,3156.7,6979082,Energy
ADANIENT,3384.95,24-05-2024 05:30,3457.85,3355.6,2024-05,3406,3473668,Energy
ADANIENT,3289.05,27-05-2024 05:30,3358,3267.05,2024-05,3358,2582485,Energy
ADANIENT,3244.05,28-05-2024 05:30,3329.5,3229.05,2024-05,3309.65,1621168,Energy
ADANIENT,3258.8,29-05-2024 05:30,3322.9,3212,2024-05,3250,1910729,Energy
